volume_north,volume_south,volume_east,volume_west,queue_north,queue_south,queue_east,queue_west,hour_of_day,weather_grip,is_emergency,saturation_flow,target_cycle_length,target_split_north,target_split_south,target_split_east,target_split_west,target_delay_sec,target_los_grade,target_route_travel_time
468.9545448420665,698.957825341926,1048.525555395007,694.3223301341725,8.1890572885878,7.291000155392119,18.905144943622915,10.27302598754344,18.444770862233465,0.85,0,1615.0,145.0,20.78327686585941,30.976635499998192,46.468889487023596,30.77119814711882,57.687868712822535,4,84.11105601992614
1238.7830330905472,250.63978140256205,801.8467259386512,627.1288294264763,18.116201627787085,4.316647563775438,15.615914519278526,6.814328451281791,8.72898451871655,0.85,0,1615.0,145.0,54.75709310941094,11.07886165743064,35.44349144188652,27.720553791271886,55.915817022527776,4,92.58744755982342
476.0426816339442,289.74119690257794,336.7288784482811,336.56190003271274,5.363576791123343,4.878792138763778,4.335715281959308,3.557433417470131,12.729741278366422,1.0,0,1900.0,119.76536520011274,34.32535099531391,20.891967601197102,24.28004334259148,24.268003261010243,45.891986615625264,3,78.57969004182142
742.4614487978641,389.6950659678724,708.96857378609,757.6172862011612,12.420544243343667,5.465797901817641,9.462455787527926,7.994440864886518,19.059854395701606,0.85,0,1615.0,145.0,36.85533734525269,19.34422742255619,35.19277128310907,37.607663949082045,56.5010307704309,4,83.91931622854779
770.8159337291722,873.8827122486953,306.82018973574344,397.22849074146677,11.804559015725845,10.105319700575745,3.5609090543494872,4.386265143647198,8.799992006568615,1.0,0,1900.0,145.0,42.33544167611212,47.99616740819217,16.85145269995815,21.816938215737565,59.347415792083815,4,86.27018761999597
1199.5621981785075,1024.2068207364491,238.040539738028,416.64892214887584,13.243583426985605,14.655439729247968,3.5546938180913896,6.378133483579169,7.589206336439712,1.0,0,1900.0,145.0,53.75916470468601,45.90049874132496,10.667942522364058,18.67239403162499,55.625226069675215,4,91.23696355911858
812.6022054395685,920.2087333199418,427.6604403253849,226.44913006819974,9.29187798333051,10.758397877077188,5.899366519661102,2.3779884268363105,8.06885463839928,1.0,0,1900.0,145.0,43.91670526929178,49.732249625854095,23.112708022919847,12.238337081934276,58.40515096892413,4,86.47422763506565
505.40714669670797,680.1116894445629,514.2755881824119,457.67619783996315,10.132421057124853,11.657569374653027,9.343493421020394,8.547672632818593,20.361630415509964,0.72,0,1368.0,145.0,30.219425124079418,40.665400973276334,30.74968910074877,27.365484801895487,58.37347675673551,4,84.27801166430385
397.0937468229485,504.03550056092365,407.985385422013,300.8799981100528,6.867325236012726,5.646924209928485,4.318285365724916,4.50541100852199,12.831415063387137,1.0,0,1900.0,145.0,31.816934265810573,40.385587829798204,32.689621262586456,24.10785664180477,57.86616831984994,4,83.42659888124392
321.5011631883991,488.1865254146772,321.6206914331057,283.5113871049899,3.4342977768054768,5.777699740392946,5.308031123696822,3.8638080830086565,13.436635058422654,1.0,0,1900.0,113.40770801379027,22.134756777698254,33.610733768547064,22.142986074906414,19.519231392638552,43.59542095702866,3,77.68469321841228
